Name,Stars,About,Are Kids Allowed,Arrival,City,Country,Rooms,Tour Types
Pelican Duni Resort,4,"[{'Ogólnie': ['czterogwiazdkowy', 'nowoczesny', '238 pokoi, kilka budynków, 2-4 piętra, winda', 'na terenie Duni Royal Resort składającego się z 5 hoteli', 'całodobowa recepcja', 'sala konferencyjna dla ok. 120 os. (na terenie resortu łącznie 4 sale, w Marina Beach dla 140 os., w Holiday Village dla 15 os., w Pelican dla 30 os.)', 'akceptowane karty kredytowe: Visa, MasterCard', 'goście mogą korzystać z całej infrastruktury Duni Royal Resort (z wyjątkiem restauracji, barów oraz basenów w części Duni Marina Royal Palce)']}, {'Sport i rozrywka': ['siatkówka plażowa', 'tenis stołowy', 'łucznictwo', 'aqua aerobik', 'rzutki', 'boccia', 'water polo', 'miniclub i teenclub na terenie Marina Beach (3-6 lat, 7-11 lat, 12-16 lat)', 'amfiteatr', 'animacje (6 razy w tygodniu)', 'za opłatą: 10 kortów tenisowych (sprzęt i oświetlenie płatne), minigolf, centrum fitness oraz spa na terenie Marina Royal Palce, sporty wodne na plaży']}, {'Basen': ['2 baseny, prostokatny kształt, słodka woda', 'basen dla dzieci', 'przy basenach bezpłatne parasole i leżaki', 'na terenie resortu: 4 baseny z wydzieloną częścią dla dzieci', 'Duni Aquapark (czynny: 1.06-15.09, termin może ulec zmianie, bar na terenie aquaparku dodatkowo płatny): zjeżdżalnie dla dorosłych i park wodny dla dzieci']}, {'Usługi': ['internet bezprzewodowy (ok. 10 BGN/dzień)', 'punkt wymiany walut', 'sklep z pamiątkami i kosmetykami']}, {'Kontakt': ['00359/892220419', 'www.duni.bg']}]",True,"Bułgaria, Sozopol",Sozopol,Bułgaria,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 2, 'price': 987.39, 'baby price': 12.29, 'kid price': 46.82, 'teenager price': 59.73, 'avaliable_rooms': 5}, {'room_name': 'junior suite', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1255.3899999999999, 'baby price': 13.02, 'kid price': 36.44, 'teenager price': 62.59, 'avaliable_rooms': 10}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 331}]"
Hotel Abora Catarina,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zbudowany w 1975 r., odnowiony w 2017 r.', '402 pokoje, 5 pięter, 8 wind', 'hol', 'całodobowa recepcja', 'parking', '2 sale konferencyjne', 'ogród', 'bezpłatny internet bezprzewodowy', 'udogodnienia dla os. z niepełnosprawnościami', 'akceptowane karty kredytowe: Visa, American Express, Eurocard, MasterCard, Diners Club', 'przy zakwaterowaniu wymagany depozyt (płatny kartą lub gotówką) na poczet potencjalnych wydatków w hotelu: ok. 50 EUR/pokój']}, {'Sport i rozrywka': ['taras do opalania dla nudystów na dachu hotelu', 'aqua aerobik', 'tenis stołowy', 'sala fitness', 'miniklub (4-12 lat)', 'plac zabaw dla dzieci', 'animacje w ciągu dnia', 'muzyka na żywo', 'gry i zabawy w hotelowym ogrodzie', 'za opłatą: bilard, ok. 3 km od hotelu pola golfowe w Maspalomas i Meloneras']}, {'Basen': ['3 baseny, słodka woda, w tym basen główny podgrzewany w sezonie zimowym przez system paneli słonecznych, ok. 396 m², gł. do 1,6 m, ok. 300 m², gł. do 1,4 m i ok. 190 m², gł. do 1,2 m', '2 brodziki dla dzieci, w tym 1 podgrzewany w sezonie zimowym\xa0przez system paneli słonecznych: 93 m²\xa0oraz 43 m², gł do 0,5 m', 'przy basenach bezpłatne parasole i leżaki', 'Waterpark dla dzieci, ręczniki płatne']}, {'Usługi': ['lekarz na wezwanie', 'opiekunka do dziecka', 'kantor', 'fryzjer', 'pralnia', 'wypożyczalnia samochodów i rowerów']}, {'Kontakt': ['0034928762812', 'www.lopesan.com']}]",True,"Wyspy Kanaryjskie, Gran Canaria",Gran Canaria,Wyspy Kanaryjskie,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1244.05, 'baby price': 10.25, 'kid price': 30.49, 'teenager price': 71.57, 'avaliable_rooms': 18}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1251.05, 'baby price': 27.33, 'kid price': 34.22, 'teenager price': 72.91, 'avaliable_rooms': 14}, {'room_name': 'deluxe', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1994.05, 'baby price': 21.94, 'kid price': 44.93, 'teenager price': 51.32, 'avaliable_rooms': 14}, {'room_name': 'standard view', 'capacity adults': 2, 'capacity_kids': 1, 'price': 2261.05, 'baby price': 28.12, 'kid price': 32.03, 'teenager price': 78.88, 'avaliable_rooms': 18}, {'room_name': 'rodzinny z dostępem do brodzika', 'capacity adults': 2, 'capacity_kids': 2, 'price': 2853.05, 'baby price': 22.59, 'kid price': 31.97, 'teenager price': 69.87, 'avaliable_rooms': 6}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive 24h', 'tour_surcharge': 276}]"
Hotel Lazuli,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'nowoczesny i elegancki', 'otwarty w 2021 r.', '265 pokoi, 2 budynki, 2 piętra, 5 wind', 'przestronne lobby', 'całodobowa recepcja', 'parking', 'sala konferencyjna', 'bezpłatny internet bezprzewodowy w lobby', 'udogodnienia dla osób z niepełnosprawnościami (5 pokoi na zapytanie)', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Sport i rozrywka': ['siatkówka plażowa', 'boisko wielofunkcyjne', 'rzutki', 'boccia', 'plac zabaw dla dzieci', 'miniklub', 'animacje dla dorosłych i dla dzieci', 'amfiteatr', 'za opłatą: bilard, tenis stołowy, centrum nurkowe']}, {'Basen': ['5 basenów o łącznej powierzchni ponad 1400 m2, słodka woda, w tym basen dla dzieci z 3 minizjeżdżalniami i basen podgrzewany', 'splash aquapark ze zjeżdżalniami', 'przy basenach bezpłatne parasole, leżaki i ręczniki']}, {'Spa': ['siłownia', 'za opłatą: sauna, łaźnia parowa, hammam, jacuzzi, zabiegi na twarz i ciało']}, {'Usługi': ['room-service', 'lekarz na wezwanie', 'fryzjer', 'wypożyczalnia rowerów', 'kącik z shishą']}, {'Kontakt': ['0020/225396271', 'www.lazulihotel.com']}]",True,"Egipt, Marsa Alam",Marsa Alam,Egipt,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 391.62, 'baby price': 13.49, 'kid price': 38.97, 'teenager price': 50.71, 'avaliable_rooms': 16}, {'room_name': 'superior', 'capacity adults': 2, 'capacity_kids': 1, 'price': 768.62, 'baby price': 29.3, 'kid price': 43.25, 'teenager price': 78.69, 'avaliable_rooms': 20}, {'room_name': 'standardowy z bocznym widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1324.62, 'baby price': 10.54, 'kid price': 42.71, 'teenager price': 67.16, 'avaliable_rooms': 8}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 394}]"
Hotel Adria Palace (ex. Rinia 2),4,"[{'Ogólnie': ['czterogwiazdkowy', 'zbudowany w 2007 r., odnowiony w 2020 r., nowy budynek zbudowany w 2023/24 r., planowane otwarcie w maju 2024 r.', '133 pokoje, 2 budynki, do 8 pięter, winda', 'przestronne i eleganckie lobby', 'recepcja', 'sejf w recepcji', 'taras z widokiem na morze', 'bezpłatny internet bezprzewodowy', 'akceptowane karty kredytowe: Visa, MaterCard, American Express']}, {'Basen': ['basen, słodka woda, ok. 75 m², gł. 1,8 m', 'przy basenie bezpłatne parasole i leżaki']}, {'Kontakt': ['00355/695232995']}]",True,"Albania, Durres",Durres,Albania,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1412.0, 'baby price': 25.29, 'kid price': 30.24, 'teenager price': 78.49, 'avaliable_rooms': 11}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1847.0, 'baby price': 16.84, 'kid price': 32.4, 'teenager price': 67.48, 'avaliable_rooms': 7}, {'room_name': 'superior', 'capacity adults': 2, 'capacity_kids': 0, 'price': 2140.0, 'baby price': 18.66, 'kid price': 38.76, 'teenager price': 76.92, 'avaliable_rooms': 18}, {'room_name': 'superior z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 2, 'price': 2815.0, 'baby price': 28.32, 'kid price': 43.03, 'teenager price': 78.92, 'avaliable_rooms': 8}, {'room_name': 'rodzinny superior', 'capacity adults': 2, 'capacity_kids': 1, 'price': 3084.0, 'baby price': 15.12, 'kid price': 41.97, 'teenager price': 75.32, 'avaliable_rooms': 13}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 399}]"
Hotel Crown Palace,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'elegancki i luksusowy', 'zbudowany w 2011 r., częściowo odnowiony w 2018 r.', '422 pokoje, 2 budynki, 4-5 pięter, 7 wind', 'przestronne lobby', 'całodobowa recepcja', 'centrum konferencyjne dla 800 osób', 'bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych', 'udogodnienia dla niepełnosprawnych', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['4 baseny: basen, ok. 1150 m², gł. 1,2- 1,4 m, basen relaksacyjny, ok. 950 m², gł. 1,2- 1,4 m,\xa0basen z 4 zjeżdżalniami, ok. 80 m², gł. ok. 1,4 m,\xa0basen kryty, prostokątny kształt, słodka woda, ok. 200 m², gł. 1,4 m;', 'brodzik dla dzieci, ok. 22 m², gł. ok. 0,2 m, woda słodka', 'przy basenach bezpłatne parasole i leżaki']}, {'Sport i rozrywka': ['siłownia', 'siatkówka', 'tenis stołowy', 'rzutki', 'trampolina dla dzieci', 'amfiteatr', 'animacje dla dorosłych i dzieci', 'za opłatą: sporty wodne na plaży']}, {'Spa': ['łaźnia turecka', 'łaźnia parowa', 'sauna', 'za opłatą: masaże']}, {'Usługi': ['lekarz na wezwanie', 'room-service', 'opiekunka do dziecka', 'fryzjer', 'fotograf', 'pralnia', 'kantor', 'minimarket', 'jubiler', 'sklep z galanterią skórzaną']}, {'Kontakt': ['0090/2427630401', 'sidecrownhotels.com']}]",True,"Turcja, Side",Side,Turcja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 898.08, 'baby price': 26.94, 'kid price': 34.97, 'teenager price': 76.52, 'avaliable_rooms': 12}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1004.08, 'baby price': 24.25, 'kid price': 40.65, 'teenager price': 59.56, 'avaliable_rooms': 11}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'Ultra all inclusive 24 h', 'tour_surcharge': 270}]"
Hotel Zakynthos,3,"[{'Ogólnie': ['trzygwiazdkowy', 'otwarty w 2016 r.', '70 pokoi, 2 budynki, 3 piętra', 'przestronne i eleganckie lobby', 'całodobowa recepcja', 'parking', 'ogród', 'bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['basen, słodka woda, nieregularny kształt, ok. 150 m², gł. 0,5-1,6 m', 'brodzik dla dzieci, słodka woda, ok. 17 m², gł. gł. 0,5 m', 'przy basenie bezpłatne parasole i leżaki']}, {'Usługi': ['sejf w recepcji (ok. 14 EUR/tydz.)', 'pralnia', 'prasowanie']}, {'Kontakt': ['0030/2695022676', 'www.zakynthoshotel.gr']}]",True,"Grecja, Zakynthos",Zakynthos,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 3, 'price': 482.94, 'baby price': 19.05, 'kid price': 40.08, 'teenager price': 52.24, 'avaliable_rooms': 15}, {'room_name': 'rodzinny', 'capacity adults': 4, 'capacity_kids': 2, 'price': 732.94, 'baby price': 29.49, 'kid price': 32.55, 'teenager price': 64.5, 'avaliable_rooms': 19}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1196.94, 'baby price': 19.81, 'kid price': 33.42, 'teenager price': 59.13, 'avaliable_rooms': 7}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 239}]"
Hotel Levante Beach,3,"[{'Ogólnie': ['trzygwiazdkowy', 'elegancki i zadbany', 'zbudowany w 1985 r.', 'całkowicie odnowiony na przełomie 2017/2018 r.', '50 pokoi, 1 budynek, 3 piętra, winda', 'elegancki hol', 'całodobowa recepcja', 'taras z widokiem na morze', 'bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych', 'na terenie hotelu występują schody – nie jest polecany osobom z ograniczeniami ruchowymi', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Sport i rozrywka': ['raz w tyg. wieczór folklorystyczny z tanecznym show']}, {'Basen': ['basen (czynny: czerwiec-październik), słodka woda, ok. 40 m², gł. 1,3-1,4 m', 'przy basenie bezpłatne parasole i leżaki, ręczniki za kaucją (ok. 10 EUR)']}, {'Kontakt': ['0030/2695043105']}]",True,"Grecja, Zakynthos",Zakynthos,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1224.07, 'baby price': 18.56, 'kid price': 48.08, 'teenager price': 74.89, 'avaliable_rooms': 8}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1641.07, 'baby price': 28.9, 'kid price': 32.96, 'teenager price': 57.96, 'avaliable_rooms': 9}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 376}]"
Hotel Aeolos Beach Resort,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zadbany', 'zbudowany w 1974 r., odnowiony w 2016 r., pokoje częściowo odnowione zimą 2015/2016 r.', '333 pokoje, budynek główny i bungalowy, 2 piętra, 2 windy', 'przestronne i eleganckie lobby', 'całodobowa recepcja', 'ogród', 'taras z widokiem na morze', 'bezpłatny internet bezprzewodowy w lobby', 'w hotelu występują różnice poziomów – niepolecany osobom z ograniczeniami ruchowymi', 'akceptowane karty kredytowe: Visa, MasterCard, American Express']}, {'Basen': ['basen rodzinny, słodka woda, ok. 100 m², gł. 0,4-1,4 m', 'wydzielony brodzik dla dzieci, słodka woda, ok. 15 m², gł. 0,5 m', 'basen typu infinity, nieregularny kształt, słodka woda, ok. 300 m², gł. 1,4 m', 'przy basenach bezpłatne parasole i leżaki, ręczniki za kaucją (10 EUR/szt.)']}, {'Sport i rozrywka': ['kort tenisowy', 'tenis stołowy', 'boccia', 'siatkówka plażowa', 'piłka wodna', 'rzutki', 'sauna', 'sala fitness', 'animacje dla dorosłych i dzieci, gry i zabawy sportowo–rekreacyjne', 'polskie animacje (w terminie: 01.07-15.09)', 'raz w tygodniu wieczór grecki', 'plac i pokój zabaw dla dzieci', 'miniklub (4-12 lat)']}, {'Spa': ['za opłatą: masaże, zabiegi pielęgnacyjne']}, {'Usługi': ['opiekunka do dziecka', 'minimarket', 'sklep z pamiątkami, kosmetykami i gazetami']}, {'Kontakt': ['0030/02661033133', 'www.aeolosbeach.gr']}]",True,"Grecja, Korfu",Korfu,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 3, 'price': 709.76, 'baby price': 29.08, 'kid price': 33.5, 'teenager price': 78.18, 'avaliable_rooms': 9}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1124.76, 'baby price': 12.42, 'kid price': 46.23, 'teenager price': 58.13, 'avaliable_rooms': 18}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1564.76, 'baby price': 18.89, 'kid price': 30.6, 'teenager price': 73.96, 'avaliable_rooms': 17}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 353}]"
